Código;Descripción
V73.91;Ocupante de autobús lesionado por colisión con automóvil, camioneta o furgoneta, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V73.92;Ocupante de autobús lesionado por colisión con automóvil, camioneta o furgoneta, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V73.93;Ocupante de autobús lesionado por colisión con automóvil, camioneta o furgoneta, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V73.94;Ocupante de autobús lesionado por colisión con automóvil, camioneta o furgoneta, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V73.98;Ocupante de autobús lesionado por colisión con automóvil, camioneta o furgoneta, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V73.99;Ocupante de autobús lesionado por colisión con automóvil, camioneta o furgoneta, ocupante no especificado de autobús, lesionado en accidente de tránsito, durante una actividad no especificada.
V74.00;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V74.01;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V74.02;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V74.03;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V74.04;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.08;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V74.09;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito, durante una actividad no especificada.
V74.10;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V74.11;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V74.12;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V74.13;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V74.14;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.18;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V74.19;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito, durante una actividad no especificada.
V74.20;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad deportiva
V74.21;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad de recreación
V74.22;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras trabaja en forma remunerada
V74.23;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V74.24;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.28;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V74.29;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, durante una actividad no especificada.
V74.30;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V74.31;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V74.32;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V74.33;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V74.34;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.38;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V74.39;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente no de tránsito, durante una actividad no especificada.
V74.40;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad deportiva
V74.41;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad de recreación
V74.42;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, mientras trabaja en forma remunerada
V74.43;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otros tipos de trabajo
V74.44;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, mientras descansa, duerme, come o realiza otras actividades vitales
V74.48;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otras actividades específicas
V74.49;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo, durante una actividad no especificada.
V74.50;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V74.51;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V74.52;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V74.53;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V74.54;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.58;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V74.59;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito, durante una actividad no especificada.
V74.60;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V74.61;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V74.62;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V74.63;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V74.64;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.68;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V74.69;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito, durante una actividad no especificada.
V74.70;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras realiza una actividad deportiva
V74.71;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras realiza una actividad de recreación
V74.72;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras trabaja en forma remunerada
V74.73;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V74.74;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.78;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras está ocupado en otras actividades específicas
V74.79;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, durante una actividad no especificada.
V74.90;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V74.91;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V74.92;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V74.93;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V74.94;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V74.98;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V74.99;Ocupante de autobús lesionado por colisión con vehículo de transporte pesado o autobús, ocupante no especificado de autobús, lesionado en accidente de tránsito, durante una actividad no especificada.
V75.00;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V75.01;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V75.02;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V75.03;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V75.04;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.08;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V75.09;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente no de tránsito, durante una actividad no especificada.
V75.10;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V75.11;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V75.12;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V75.13;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V75.14;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.18;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V75.19;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente no de tránsito, durante una actividad no especificada.
V75.20;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad deportiva
V75.21;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad de recreación
V75.22;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras trabaja en forma remunerada
V75.23;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V75.24;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.28;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V75.29;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, durante una actividad no especificada.
V75.30;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V75.31;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V75.32;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V75.33;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V75.34;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.38;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V75.39;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente no de tránsito, durante una actividad no especificada.
V75.40;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad deportiva
V75.41;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad de recreación
V75.42;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, mientras trabaja en forma remunerada
V75.43;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otros tipos de trabajo
V75.44;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, mientras descansa, duerme, come o realiza otras actividades vitales
V75.48;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otras actividades específicas
V75.49;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona lesionada al subir o bajar del vehículo, durante una actividad no especificada.
V75.50;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V75.51;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V75.52;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V75.53;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V75.54;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.58;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V75.59;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, conductor lesionado en accidente de tránsito, durante una actividad no especificada.
V75.60;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V75.61;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V75.62;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V75.63;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V75.64;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.68;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V75.69;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, pasajero lesionado en accidente de tránsito, durante una actividad no especificada.
V75.70;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras realiza una actividad deportiva
V75.71;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras realiza una actividad de recreación
V75.72;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras trabaja en forma remunerada
V75.73;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V75.74;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.78;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras está ocupado en otras actividades específicas
V75.79;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, durante una actividad no especificada.
V75.90;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V75.91;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V75.92;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V75.93;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V75.94;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V75.98;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V75.99;Ocupante de autobús lesionado por colisión con tren o vehículo de rieles, ocupante no especificado de autobús, lesionado en accidente de tránsito, durante una actividad no especificada.
V76.00;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V76.01;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V76.02;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V76.03;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V76.04;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.08;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V76.09;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente no de tránsito, durante una actividad no especificada.
V76.10;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V76.11;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V76.12;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V76.13;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V76.14;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.18;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V76.19;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente no de tránsito, durante una actividad no especificada.
V76.20;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad deportiva
V76.21;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras realiza una actividad de recreación
V76.22;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras trabaja en forma remunerada
V76.23;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V76.24;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.28;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V76.29;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente no de tránsito, durante una actividad no especificada.
V76.30;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad deportiva
V76.31;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras realiza una actividad de recreación
V76.32;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras trabaja en forma remunerada
V76.33;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otros tipos de trabajo
V76.34;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.38;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, mientras está ocupado en otras actividades específicas
V76.39;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, ocupante no especificado de autobús, lesionado en accidente no de tránsito, durante una actividad no especificada.
V76.40;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad deportiva
V76.41;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, mientras realiza una actividad de recreación
V76.42;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, mientras trabaja en forma remunerada
V76.43;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otros tipos de trabajo
V76.44;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, mientras descansa, duerme, come o realiza otras actividades vitales
V76.48;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, mientras está ocupado en otras actividades específicas
V76.49;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona lesionada al subir o bajar del vehículo, durante una actividad no especificada.
V76.50;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V76.51;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V76.52;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V76.53;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V76.54;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.58;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V76.59;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, conductor lesionado en accidente de tránsito, durante una actividad no especificada.
V76.60;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, mientras realiza una actividad deportiva
V76.61;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, mientras realiza una actividad de recreación
V76.62;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, mientras trabaja en forma remunerada
V76.63;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, mientras está ocupado en otros tipos de trabajo
V76.64;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, mientras descansa, duerme, come o realiza otras actividades vitales
V76.68;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, mientras está ocupado en otras actividades específicas
V76.69;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, pasajero lesionado en accidente de tránsito, durante una actividad no especificada.
V76.70;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras realiza una actividad deportiva
V76.71;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras realiza una actividad de recreación
V76.72;Ocupante de autobús lesionado por colisión con otros vehículos sin motor, persona que viaja fuera del vehículo, lesionada en accidente de tránsito, mientras trabaja en forma remunerada
